Mass (M/M_sun),M_B,M_V,(B-V)_0
0.86,7.05783,6.17019,0.8876430000000001
0.84,7.2423399999999996,6.32873,0.913609
0.82,7.447210000000001,6.4993099999999995,0.9478989999999999
0.8,7.66392,6.67886,0.9850639999999999
0.78,7.88894,6.8686300000000005,1.0203
0.76,8.14503,7.07561,1.06941
0.74,8.38879,7.28275,1.10604
0.72,8.65208,7.50365,1.1484299999999998
0.7,8.93484,7.736960000000001,1.19787
0.68,9.16895,7.95085,1.2181
0.66,9.41628,8.173119999999999,1.24317
0.64,9.67962,8.40495,1.27467
0.62,9.88303,8.60267,1.28035
0.6,10.0834,8.79826,1.2851700000000001
0.58,10.2925,9.001510000000001,1.291
0.56,10.5057,9.20774,1.29795
0.54,10.7193,9.41426,1.30501
0.52,10.8984,9.594,1.30443
0.5,11.0773,9.77333,1.304
0.48,11.2661,9.96236,1.3037
0.46,11.4588,10.1552,1.30355
0.44,11.6594,10.3558,1.3035700000000001
0.42,11.8709,10.5671,1.30376
0.4,12.0641,10.7639,1.30017
0.38,12.2594,10.9663,1.2930700000000002
0.36,12.4574,11.1732,1.2842200000000001
0.34,12.6603,11.3871,1.27328
0.32,12.8751,11.6144,1.26072
0.3,13.0604,11.8012,1.25921
0.28,13.2733,12.0162,1.25716
0.26,13.5077,12.2531,1.25458
0.24,13.7738,12.5227,1.25109
0.22,14.0459,12.804,1.24194
0.2,14.3527,13.1245,1.22813
0.18,14.7195,13.5125,1.20695
0.16,15.1874,14.0186,1.16882
0.14,15.7124,14.5814,1.13095
0.12,16.2772,15.154,1.12316
0.1,17.1853,16.0891,1.09622
